array_size,best_time,worst_time,avg_time
0,0.000000,0.000000,0.000000
200,0.000000,0.000027,0.000018
400,0.000001,0.000125,0.000051
600,0.000001,0.000245,0.000197
800,0.000002,0.000501,0.000386
1000,0.000002,0.000768,0.000395
1200,0.000003,0.000989,0.000606
1400,0.000002,0.000954,0.000645
1600,0.000002,0.001327,0.000775
1800,0.000003,0.001546,0.001258
2000,0.000003,0.002323,0.001540
2200,0.000003,0.002274,0.001505
2400,0.000004,0.002951,0.001681
2600,0.000004,0.003632,0.002478
2800,0.000004,0.004095,0.002778
3000,0.000008,0.004288,0.003037
3200,0.000005,0.005992,0.002995
3400,0.000005,0.005789,0.003843
3600,0.000005,0.006231,0.003854
3800,0.000005,0.007122,0.004761
4000,0.000008,0.007410,0.005513
4200,0.000006,0.009198,0.005416
4400,0.000006,0.009775,0.005829
4600,0.000007,0.010147,0.006393
4800,0.000007,0.011304,0.007775
5000,0.000007,0.011668,0.007729
5200,0.000007,0.013379,0.007687
5400,0.000010,0.014282,0.009500
5600,0.000010,0.015983,0.009909
5800,0.000008,0.016753,0.011005
6000,0.000009,0.018994,0.011525
6200,0.000008,0.017510,0.011331
6400,0.000009,0.021423,0.004781
6600,0.000009,0.020643,0.000419
6800,0.000010,0.021729,0.000336
7000,0.000010,0.023282,0.000146
7200,0.000010,0.025597,0.000319
7400,0.000011,0.026286,0.000087
7600,0.000010,0.028159,0.000170
7800,0.000012,0.030982,0.000255
8000,0.000012,0.029899,0.000148
8200,0.000011,0.032573,0.000204
8400,0.000011,0.034462,0.004443
8600,0.000015,0.035569,0.000389
8800,0.000012,0.036953,0.000330
9000,0.000013,0.039302,0.000342
9200,0.000013,0.041632,0.000477
9400,0.000013,0.041980,0.000449
9600,0.000013,0.045400,0.000482
9800,0.000013,0.045867,0.000171
10000,0.000014,0.047780,0.000338
10200,0.000014,0.049453,0.000232
10400,0.000014,0.050645,0.000420
10600,0.000021,0.053889,0.000435
10800,0.000015,0.053672,0.000115
11000,0.000015,0.057081,0.000455
11200,0.000015,0.059013,0.000291
11400,0.000016,0.060742,0.000389
11600,0.000016,0.063909,0.000400
11800,0.000016,0.065089,0.000055
12000,0.000017,0.068999,0.000238
12200,0.000017,0.072812,0.000244
12400,0.000017,0.074758,0.000310
12600,0.000018,0.075335,0.000251
12800,0.000018,0.079988,0.000701
13000,0.000017,0.080622,0.000490
13200,0.000018,0.081278,0.000123
13400,0.000018,0.088645,0.000334
13600,0.000022,0.089998,0.000262
13800,0.000019,0.090092,0.000445
14000,0.000019,0.272188,0.001015
14200,0.000063,0.304839,0.000289
14400,0.000061,0.317093,0.000879
14600,0.000065,0.333176,0.000585
14800,0.000047,0.330580,0.001199
15000,0.000067,0.341792,0.001077
15200,0.000068,0.355772,0.001664
15400,0.000069,0.368661,0.001067
15600,0.000070,0.365495,0.000453
15800,0.000071,0.370399,0.000612
16000,0.000072,0.374885,0.000550
16200,0.000073,0.396429,0.001698
16400,0.000042,0.407621,0.001098
16600,0.000084,0.364025,0.000304
16800,0.000088,0.489177,0.000554
17000,0.000072,0.452542,0.000751
17200,0.000101,0.455017,0.001385
17400,0.000083,0.436381,0.001018
17600,0.000091,0.485856,0.001623
17800,0.000053,0.314030,0.001358
18000,0.000048,0.313457,0.000290
18200,0.000034,0.361777,0.000980
18400,0.000067,0.305097,0.000783
18600,0.000071,0.342307,0.001289
18800,0.000068,0.375300,0.001319
19000,0.000041,0.352212,0.000271
19200,0.000069,0.390836,0.001152
19400,0.000037,0.393714,0.000392
19600,0.000050,0.366446,0.000242
19800,0.000038,0.380989,0.000328
20000,0.000065,0.420724,0.000701
20200,0.000046,0.390578,0.000115
20400,0.000059,0.412315,0.000364
20600,0.000064,0.366702,0.001080
20800,0.000039,0.405012,0.000698
21000,0.000046,0.392538,0.000748
21200,0.000103,0.471602,0.000132
21400,0.000045,0.432920,0.000320
21600,0.000050,0.497255,0.001017
21800,0.000043,0.485106,0.000779
22000,0.000070,0.518842,0.000704
22200,0.000075,0.426829,0.000696
22400,0.000052,0.447522,0.000680
22600,0.000072,0.455512,0.000735
22800,0.000071,0.521846,0.000945
23000,0.000091,0.556272,0.000752
23200,0.000048,0.551122,0.000735
23400,0.000055,0.647720,0.000529
23600,0.000066,0.560124,0.000781
23800,0.000074,0.611856,0.000802
24000,0.000081,0.650588,0.000885
24200,0.000083,0.548598,0.000660
24400,0.000046,0.583980,0.001058
24600,0.000078,0.648008,0.000896
24800,0.000078,0.631729,0.000877
25000,0.000084,0.742067,0.000822
25200,0.000106,0.778664,0.001158
25400,0.000088,0.665582,0.000946
25600,0.000065,0.701890,0.000796
25800,0.000056,0.719042,0.000967
26000,0.000085,0.768483,0.000711
26200,0.000096,0.719888,0.000795
26400,0.000096,0.813416,0.000550
26600,0.000095,0.846379,0.074085
26800,0.000058,0.819462,0.000877
27000,0.000111,0.736982,0.000343
27200,0.000087,0.783088,0.019475
