array_size,best_time,worst_time,avg_time
0,0.000000,0.000000,0.000000
200,0.000018,0.000020,0.000027
400,0.000076,0.000085,0.000098
600,0.000168,0.000209,0.000206
800,0.000347,0.000433,0.000421
1000,0.000556,0.000623,0.000668
1200,0.000680,0.000660,0.000603
1400,0.000736,0.000766,0.000763
1600,0.000901,0.000975,0.000990
1800,0.001252,0.001293,0.001233
2000,0.001438,0.001592,0.001509
2200,0.001691,0.001895,0.001846
2400,0.002141,0.002364,0.002387
2600,0.002501,0.002677,0.004133
2800,0.002842,0.003135,0.003488
3000,0.003272,0.003521,0.003327
3200,0.003737,0.004050,0.004128
3400,0.004161,0.004841,0.004452
3600,0.004625,0.005122,0.005156
3800,0.005380,0.005710,0.005578
4000,0.005908,0.006489,0.005956
4200,0.006148,0.006899,0.006753
4400,0.006828,0.007649,0.007102
4600,0.007447,0.008217,0.008487
4800,0.008467,0.008980,0.008854
5000,0.008991,0.009835,0.009137
5200,0.010544,0.013356,0.010077
5400,0.010484,0.011523,0.010758
5600,0.011230,0.011813,0.011326
5800,0.012296,0.013535,0.012415
6000,0.012839,0.013901,0.013021
6200,0.014039,0.015737,0.014270
6400,0.015336,0.015985,0.015012
6600,0.016117,0.017052,0.015923
6800,0.017715,0.018165,0.016764
7000,0.018682,0.019347,0.017359
7200,0.018445,0.020636,0.018448
7400,0.019738,0.021214,0.019137
7600,0.020620,0.022669,0.020466
7800,0.021549,0.023518,0.021731
8000,0.022613,0.027010,0.022606
8200,0.024913,0.025635,0.024586
8400,0.026213,0.029106,0.025555
8600,0.026466,0.029019,0.026588
8800,0.027278,0.029894,0.027923
9000,0.029572,0.031684,0.028884
9200,0.031141,0.032900,0.030578
9400,0.031970,0.034747,0.031653
9600,0.032336,0.035810,0.032580
9800,0.034418,0.036840,0.034320
10000,0.035381,0.039810,0.036163
10200,0.036784,0.041111,0.036817
10400,0.038855,0.041932,0.039162
10600,0.040336,0.044194,0.041938
10800,0.041581,0.044455,0.041218
11000,0.042290,0.046511,0.043043
11200,0.045202,0.048951,0.044866
11400,0.047439,0.050092,0.047104
11600,0.047949,0.052791,0.047721
11800,0.049647,0.053367,0.049173
12000,0.051282,0.055795,0.050910
12200,0.051972,0.058682,0.053714
12400,0.054252,0.061341,0.053643
12600,0.056753,0.061200,0.058292
12800,0.058505,0.063612,0.059090
13000,0.060758,0.065216,0.062560
13200,0.062347,0.066822,0.061477
13400,0.084782,0.069954,0.064728
13600,0.067416,0.071895,0.067650
13800,0.068772,0.073149,0.067772
14000,0.241080,0.256772,0.238860
14200,0.254633,0.267842,0.257189
14400,0.258692,0.272654,0.258628
14600,0.271635,0.289597,0.275278
14800,0.275493,0.282026,0.278636
15000,0.270651,0.308605,0.285591
15200,0.277754,0.305151,0.287064
15400,0.306470,0.306897,0.290730
15600,0.294357,0.318818,0.301755
15800,0.310874,0.332091,0.307460
16000,0.312046,0.340003,0.323847
16200,0.338462,0.343414,0.334717
16400,0.330568,0.341391,0.330203
16600,0.338265,0.370178,0.342772
16800,0.382707,0.373717,0.361410
17000,0.398134,0.377789,0.357342
17200,0.365462,0.397655,0.377711
17400,0.375671,0.410344,0.385761
17600,0.369842,0.369652,0.278611
17800,0.292801,0.219246,0.226525
18000,0.250131,0.237841,0.215298
18200,0.285251,0.251323,0.262800
18400,0.296770,0.266873,0.260711
