size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
100,0,0,0,0,0,0
200,0,0,0,0,0,0
300,0,0,0,0,0,0
400,0,1090000,0,0,0,0
500,0,0,0,0,0,0
600,0,0,0,0,0,0
700,0,0,0,0,0,0
800,0,0,0,0,0,0
900,0,0,0,0,0,0
1000,0,0,0,0,0,0
1100,0,0,0,0,0,0
1200,0,0,0,0,0,0
1300,0,0,0,0,0,0
1400,0,0,0,0,0,0
1500,0,0,0,0,0,0
1600,0,0,0,0,0,0
1700,0,0,0,0,0,0
1800,0,0,0,0,0,0
1900,0,0,0,0,0,0
2000,0,0,0,0,0,0
2100,0,0,0,0,0,0
2200,0,0,0,0,0,0
2300,0,0,0,0,0,0
2400,0,0,0,0,0,0
2500,0,0,0,0,0,0
2600,0,549000,0,869000,637000,0
2700,0,0,0,0,0,0
2800,179000,1510000,0,0,0,0
2900,502000,0,902000,0,0,0
3000,0,323000,546000,0,0,0
3100,0,0,0,0,0,1626000
3200,0,0,1087000,0,0,0
3300,0,0,0,0,1597000,0
3400,0,0,0,0,1581000,0
3500,0,0,0,0,0,0
3600,0,0,0,0,0,0
3700,0,0,0,0,0,0
3800,0,0,0,0,0,0
3900,0,0,11561000,0,0,0
4000,0,0,0,0,0,0
4100,0,0,0,0,10468000,0
4200,0,0,0,0,0,0
4300,0,0,0,0,0,0
4400,0,0,0,0,0,0
4500,0,0,0,0,0,0
4600,0,0,0,0,0,0
4700,0,0,0,0,3573000,0
4800,0,0,0,0,0,0
4900,0,0,0,0,0,0
5000,0,0,0,0,0,0
5100,334000,11606000,0,0,0,0
5200,0,0,0,0,0,0
5300,9537000,0,0,0,0,813000
5400,0,0,0,0,0,0
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,0,0,0,0,0,0
5800,0,0,0,0,0,0
5900,0,0,0,0,0,0
6000,0,0,0,0,0,0
6100,0,0,0,0,10442000,0
6200,0,0,0,0,0,0
6300,0,0,0,9585000,0,2097000
6400,0,0,0,0,0,0
6500,0,0,0,0,0,0
6600,999000,0,11079000,0,0,691000
6700,0,0,0,0,0,0
6800,0,0,0,0,0,0
6900,685000,133000,10004000,0,0,0
7000,0,0,0,0,0,0
7100,0,0,0,0,0,0
7200,0,1372000,1280000,0,0,0
7300,0,0,0,0,9619000,0
7400,0,0,0,0,0,0
