array_size,best_time,worst_time,avg_time
0,0.000000,0.000000,0.000000
200,0.000012,0.000010,0.000024
400,0.000016,0.000016,0.000033
600,0.000028,0.000032,0.000054
800,0.000035,0.000031,0.000066
1000,0.000043,0.000063,0.000081
1200,0.000044,0.000044,0.000091
1400,0.000052,0.000048,0.000104
1600,0.000064,0.000062,0.000118
1800,0.000070,0.000069,0.000142
2000,0.000083,0.000079,0.000161
2200,0.000090,0.000082,0.000167
2400,0.000095,0.000092,0.000187
2600,0.000095,0.000097,0.000202
2800,0.000109,0.000121,0.000243
3000,0.000114,0.000117,0.000231
3200,0.000125,0.000118,0.000258
3400,0.000136,0.000129,0.000273
3600,0.000193,0.000144,0.000297
3800,0.000156,0.000149,0.000314
4000,0.000172,0.000166,0.000330
4200,0.000171,0.000168,0.000353
4400,0.000182,0.000175,0.000373
4600,0.000188,0.000180,0.000369
4800,0.000200,0.000187,0.000397
5000,0.000211,0.000202,0.000419
5200,0.000210,0.000220,0.000440
5400,0.000223,0.000244,0.000456
5600,0.000359,0.000342,0.000805
5800,0.000235,0.000230,0.000495
6000,0.000246,0.000233,0.000517
6200,0.000247,0.000240,0.000518
6400,0.000278,0.000261,0.000300
6600,0.000283,0.000271,0.000279
6800,0.000276,0.000257,0.000280
7000,0.000331,0.000271,0.000287
7200,0.000325,0.000291,0.000299
7400,0.000337,0.000311,0.000332
7600,0.000333,0.000316,0.000330
7800,0.000471,0.000345,0.000340
8000,0.000354,0.000300,0.000346
8200,0.000354,0.000327,0.000357
8400,0.000350,0.000331,0.000348
8600,0.000371,0.000426,0.000362
8800,0.000527,0.000411,0.000404
9000,0.000383,0.000376,0.000387
9200,0.000387,0.000390,0.000387
9400,0.000416,0.000384,0.000395
9600,0.000426,0.000389,0.000394
9800,0.000419,0.000444,0.000441
10000,0.000469,0.000442,0.000438
10200,0.000427,0.000428,0.000424
10400,0.000440,0.000433,0.000439
10600,0.000446,0.000432,0.000453
10800,0.000407,0.000444,0.000441
11000,0.000477,0.000433,0.000461
11200,0.000531,0.000443,0.000465
11400,0.000484,0.000480,0.000484
11600,0.000485,0.000477,0.000491
11800,0.000498,0.000490,0.000495
12000,0.000511,0.000494,0.000496
12200,0.000524,0.000510,0.000447
12400,0.000531,0.000505,0.000548
12600,0.000517,0.000509,0.000529
12800,0.000625,0.000594,0.000582
13000,0.000546,0.000533,0.000552
13200,0.000557,0.000547,0.000568
13400,0.000580,0.000564,0.000554
13600,0.000591,0.000561,0.000578
13800,0.000607,0.000588,0.000570
14000,0.000648,0.000621,0.000896
14200,0.001246,0.000900,0.000964
14400,0.000629,0.000661,0.000628
14600,0.000686,0.000605,0.000650
14800,0.000716,0.000712,0.000689
15000,0.000737,0.000794,0.000709
15200,0.001136,0.001048,0.000932
15400,0.000671,0.000680,0.000671
15600,0.000709,0.000670,0.000676
15800,0.000690,0.000649,0.000676
16000,0.000825,0.000742,0.000715
16200,0.000732,0.000698,0.000712
16400,0.000705,0.000761,0.000711
16600,0.000763,0.000674,0.000731
16800,0.000825,0.000797,0.001005
17000,0.000765,0.000739,0.000736
17200,0.001002,0.000896,0.000856
17400,0.000800,0.000728,0.000758
17600,0.000802,0.000749,0.000793
17800,0.000944,0.000987,0.001346
18000,0.000867,0.000814,0.000803
18200,0.000822,0.000798,0.000812
18400,0.000823,0.000781,0.000792
18600,0.000852,0.000783,0.000849
18800,0.000837,0.000888,0.000851
19000,0.000855,0.000835,0.001581
19200,0.000847,0.000881,0.000859
19400,0.000907,0.000872,0.000866
19600,0.001312,0.001230,0.001339
19800,0.000869,0.000826,0.000901
20000,0.000905,0.000853,0.000882
20200,0.000915,0.000910,0.000880
20400,0.000899,0.000858,0.000927
20600,0.002029,0.000925,0.000952
20800,0.000951,0.000892,0.000892
21000,0.000895,0.000909,0.000960
21200,0.000971,0.000914,0.001022
21400,0.000983,0.000926,0.000996
21600,0.001025,0.000975,0.000946
21800,0.001008,0.001363,0.001018
22000,0.001177,0.000987,0.000997
22200,0.001048,0.001010,0.001051
22400,0.000977,0.000990,0.001001
22600,0.001003,0.000942,0.001011
22800,0.001006,0.001023,0.001012
23000,0.001050,0.000989,0.001246
23200,0.001039,0.000991,0.001063
23400,0.001014,0.000971,0.001034
23600,0.001230,0.001039,0.001079
23800,0.001100,0.001072,0.001279
24000,0.001040,0.001022,0.001069
24200,0.001109,0.001085,0.001072
24400,0.001043,0.001020,0.001070
24600,0.001053,0.001079,0.001064
24800,0.001350,0.001
