array_size,best_time,worst_time,avg_time
0,0.000000,0.000000,0.000000
200,0.000062,0.000040,0.000012
400,0.000185,0.000119,0.000030
600,0.000366,0.000230,0.000035
800,0.000600,0.000454,0.000054
1000,0.000994,0.000534,0.000055
1200,0.001159,0.000758,0.000071
1400,0.001514,0.001048,0.000074
1600,0.002080,0.001343,0.000090
1800,0.002820,0.001840,0.000093
2000,0.003315,0.002059,0.000106
2200,0.003796,0.003215,0.000117
2400,0.004429,0.002937,0.000146
2600,0.005763,0.003421,0.000150
2800,0.006403,0.004064,0.000161
3000,0.007114,0.004551,0.000171
3200,0.010433,0.005611,0.000200
3400,0.009745,0.006175,0.000246
3600,0.010375,0.006920,0.000243
3800,0.011604,0.007371,0.000213
4000,0.013183,0.008266,0.000228
4200,0.017359,0.009104,0.000241
4400,0.015884,0.012243,0.000296
4600,0.018084,0.011743,0.000298
4800,0.019422,0.012453,0.000700
5000,0.020110,0.012996,0.000296
5200,0.022184,0.014745,0.000314
5400,0.023378,0.015530,0.000313
5600,0.027849,0.017231,0.000343
5800,0.030634,0.017287,0.000346
6000,0.029690,0.018854,0.000382
6200,0.032753,0.020245,0.000371
6400,0.033498,0.021018,0.008851
6600,0.034959,0.022524,0.011725
6800,0.036832,0.024649,0.015233
7000,0.039952,0.024769,0.014811
7200,0.041780,0.026399,0.016256
7400,0.048690,0.030127,0.017622
7600,0.047637,0.029535,0.017221
7800,0.050116,0.035737,0.018008
8000,0.050704,0.037928,0.018873
8200,0.051439,0.035661,0.004087
8400,0.055296,0.036619,0.023827
8600,0.057625,0.038103,0.026361
8800,0.060205,0.039410,0.024925
9000,0.062695,0.044069,0.023367
9200,0.071937,0.045504,0.027135
9400,0.071911,0.045714,0.024377
9600,0.076061,0.050507,0.026847
9800,0.075925,0.051275,0.030322
10000,0.077105,0.057534,0.029238
10200,0.085869,0.054274,0.031797
10400,0.087266,0.056657,0.032141
10600,0.086155,0.057551,0.034606
10800,0.097067,0.062442,0.036941
11000,0.097045,0.068150,0.035328
11200,0.108990,0.064258,0.038168
11400,0.105261,0.065634,0.036989
11600,0.105412,0.070373,0.039556
11800,0.107978,0.070437,0.044365
12000,0.116420,0.073651,0.049275
12200,0.119004,0.085715,0.052634
12400,0.122490,0.079891,0.044809
12600,0.124174,0.089242,0.047127
12800,0.140302,0.089013,0.045226
13000,0.132695,0.093841,0.051909
13200,0.136447,0.090999,0.056785
13400,0.146233,0.093733,0.052832
13600,0.151861,0.100915,0.064745
13800,0.156754,0.108320,0.056070
14000,0.162320,0.103424,0.060106
14200,0.181657,0.117113,0.073297
14400,0.175387,0.114386,0.063625
14600,0.171292,0.114697,0.087272
14800,0.219188,0.118344,0.095322
15000,0.191714,0.124927,0.066187
15200,0.194912,0.132642,0.066788
15400,0.198769,0.132716,0.077950
15600,0.199086,0.138683,0.078291
15800,0.210917,0.133486,0.079528
16000,0.216711,0.141160,0.086215
16200,0.215414,0.142029,0.077445
16400,0.239851,0.143245,0.079716
16600,0.229951,0.157672,0.085369
16800,0.227009,0.150547,0.085670
17000,0.250438,0.164073,0.092617
17200,0.246574,0.164423,0.098304
17400,0.261144,0.169083,0.090786
17600,0.274695,0.173663,0.095204
17800,0.265435,0.171640,0.092757
18000,0.263526,0.180376,0.101798
18200,0.288023,0.189651,0.107527
18400,0.278515,0.187372,0.105348
18600,0.302863,0.186478,0.095224
18800,0.301992,0.205177,0.103522
19000,0.305276,0.202958,0.113276
19200,0.324315,0.201856,0.114685
19400,0.328260,0.201939,0.110989
19600,0.319804,0.218017,0.129620
19800,0.331605,0.218328,0.126896
20000,0.344092,0.219152,0.113201
20200,0.340201,0.226746,0.138228
20400,0.354274,0.232572,0.134506
20600,0.357387,0.231289,0.128814
20800,0.369189,0.232274,0.137007
21000,0.381506,0.251935,0.123595
21200,0.372656,0.240050,0.144804
21400,0.393997,0.246348,0.161953
21600,0.397008,0.252382,0.146237
21800,0.408559,0.268125,0.145919
22000,0.441350,0.258575,0.137547
22200,0.444491,0.267903,0.138191
22400,0.424366,0.277687,0.148512
22600,0.442935,0.282944,0.152562
22800,0.447753,0.309426,0.152370
23000,0.440362,0.285785,0.157436
23200,0.475421,0.313246,0.150064
23400,0.468221,0.297252,0.154078
23600,0.466283,0.326973,0.156593
23800,0.498167,0.318272,0.165695
24000,0.479119,0.323221,0.161655
24200,0.520840,0.321282,0.172606
24400,0.510232,0.351345,0.168554
24600,0.516584,0.349607,0.168314
24800,0.496904,0.327
