Size: 1 -> Max Sum: -706 | Execution Time: 0 microseconds
Size: 2 -> Max Sum: -654 | Execution Time: 0 microseconds
Size: 3 -> Max Sum: -131 | Execution Time: 0 microseconds
Size: 4 -> Max Sum: -131 | Execution Time: 0 microseconds
Size: 5 -> Max Sum: -131 | Execution Time: 0 microseconds
Size: 6 -> Max Sum: 729 | Execution Time: 0 microseconds
Size: 7 -> Max Sum: 729 | Execution Time: 0 microseconds
Size: 8 -> Max Sum: 1028 | Execution Time: 0 microseconds
Size: 9 -> Max Sum: 1056 | Execution Time: 0 microseconds
Size: 10 -> Max Sum: 1263 | Execution Time: 0 microseconds
Size: 11 -> Max Sum: 1263 | Execution Time: 0 microseconds
Size: 12 -> Max Sum: 1628 | Execution Time: 0 microseconds
Size: 13 -> Max Sum: 1628 | Execution Time: 0 microseconds
Size: 14 -> Max Sum: 1862 | Execution Time: 0 microseconds
Size: 15 -> Max Sum: 1862 | Execution Time: 0 microseconds
Size: 16 -> Max Sum: 2346 | Execution Time: 0 microseconds
Size: 17 -> Max Sum: 2835 | Execution Time: 0 microseconds
Size: 18 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 19 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 20 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 21 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 22 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 23 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 24 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 25 -> Max Sum: 2875 | Execution Time: 0 microseconds
Size: 26 -> Max Sum: 3432 | Execution Time: 0 microseconds
Size: 27 -> Max Sum: 3836 | Execution Time: 0 microseconds
Size: 28 -> Max Sum: 3836 | Execution Time: 0 microseconds
Size: 29 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 30 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 31 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 32 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 33 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 34 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 35 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 36 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 37 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 38 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 39 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 40 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 41 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 42 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 43 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 44 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 45 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 46 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 47 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 48 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 49 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 50 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 51 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 52 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 53 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 54 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 55 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 56 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 57 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 58 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 59 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 60 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 61 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 62 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 63 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 64 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 65 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 66 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 67 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 68 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 69 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 70 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 71 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 72 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 73 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 74 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 75 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 76 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 77 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 78 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 79 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 80 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 81 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 82 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 83 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 84 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 85 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 86 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 87 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 88 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 89 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 90 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 91 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 92 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 93 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 94 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 95 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 96 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 97 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 98 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 99 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 100 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 101 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 102 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 103 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 104 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 105 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 106 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 107 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 108 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 109 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 110 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 111 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 112 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 113 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 114 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 115 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 116 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 117 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 118 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 119 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 120 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 121 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 122 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 123 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 124 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 125 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 126 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 127 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 128 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 129 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 130 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 131 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 132 -> Max Sum: 4192 | Execution Time: 0 microseconds
Size: 133 -> Max Sum: 4516 | Execution Time: 0 microseconds
Size: 134 -> Max Sum: 5346 | Execution Time: 0 microseconds
Size: 135 -> Max Sum: 6072 | Execution Time: 0 microseconds
Size: 136 -> Max Sum: 6464 | Execution Time: 0 microseconds
Size: 137 -> Max Sum: 6464 | Execution Time: 0 microseconds
